,금융회사,상품명,적립방식,세전이자율,최고우대금리,가입대상,이자계산방식,우대조건,가입방법,만기후이자율,기타유의사항,개월수,상품종류
19,영진저축은행,자유적립예금,자유적립식,1.10%,1.10%,내·외국인 대상,단리,"계약기간이 1년이상인 정기예금, 정기적금, 신용부금 만기수령액 이하를 1년 이상으로 재예치시",영업점,만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율)만기후 1개월이후 해지시 보통예금금리(0.5%)적용,"1천원이상 가입가능, 최소가입기간 3개월이상",1,적금
20,청주저축은행,정기적금,자유적립식,1.00%,1.00%,제한없음,단리,없음,영업점,1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리1개월초과 : 보통예금이율,상품 문의 ☎ 043-256-9114,1,적금
21,국민은행,KB 특★한 적금,자유적립식,2.00%,6.00%,실명의 개인,단리,"항목별 적용 조건 충족시, 최고 연 4.0%p ① 목표달성 축하 우대이율: 최고 연 1.0%p 50만원 이하: 연 0.5%p, 50만원 초과: 연 1.0%p ② 별 모으기 우대이율 : 최고 연 1.0%p 10개: 연 0.5%p, 20개: 연 1.0%p ③ 함께해요 우대이율: 최고 연 2.0%p",스마트폰,- 1개월 이내 : 기본이율 X 50%- 1개월 초과 ~ 3개월 이내 : 기본이율 X 30%- 3개월 초과 : 0.1%,"개인사업자, 임의단체 및공동명의 가입 불가(1인 최대 3계좌)",3,적금
22,경남은행,오늘도세이브적금,자유적립식,3.45%,5.20%,실명의 개인 및 개인사업자,단리,①마케팅동의 0.15% ②목돈마련 축하이율 0.30~1.00% ③친구 추천번호 0.30~0.60%,"인터넷,스마트폰,기타",만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,1. 계약기간은 1개월 이상 6개월 이내 월단위로 한다.2. 초입금 일 1천원 이상 10만원 이하 자유롭게 저축3. 최대 저축횟수는 999회 이내,3,적금
23,농협은행주식회사,NH올원e 미니적금,자유적립식,2.80%,4.50%,개인,단리,"1. 자동이체 입금횟수 우대금리 : 최고 0.5%p - 5회이상 : 0.2%p, 10회이상 : 0.3%p, 15회이상 0.5%p 2. 목표금액 달성 축하금리 : 0.5%p 3. MZ세대(만 19~34세)) 우대금리 : 0.5%p 4. 직전 1년간 당행 예적금(청약포함) 미보유 고객 : 0.2%p",스마트폰,만기후 1년 이내 : 만기시점 계약기간별 자유로우대적금 기본금리의 1/2만기후 1년 초과 : 보통예금 금리,가입기간 1개월 이상 6개월 이하(일 단위)초입금 및 매일 1천원이상 5만원이내(천원 단위),3,적금
24,신한은행,한 달부터 적금 (매주입금),자유적립식,2.50%,4.50%,제한없음,단리,※가산금리 최고 연 2.0% - 주 납입: 총 납입 회차의 90%이상 납입 달성,"영업점,스마트폰","-1개월 이하:(일반) 정기적금 기본금리 1/2(단, 최저금리 0.10%)-1개월 초과~6개월 이하: (일반) 정기적금 기본금리의 1/4(단, 최저금리 0.10%)-6개월 초과 0.10%",1.가입한도:- 매주입금: 주 10만원이내,3,적금
25,중소기업은행,IBK D-day적금(자유적립식),자유적립식,2.90%,4.40%,실명의 개인(개인사업자 제외),단리,최고 연 1.5%p 1. 목표달성 축하금리 : 연 1.0%p - 당행 입출금식 계좌에서 이 적금으로 자동이체를 통해 3회 이상 납입하고 만기일 전일까지 목표금액(신규 시 직접 설정) 이상 납입하는 경우 2. 최초거래고객 우대금리 : 연 0.5%p,스마트폰,만기일 당시 정기적금 만기후금리 적용- 1개월 이내: 만기일 당시 약정금리x50%- 1월 초과 6개월 이내: 만기일 당시 약정금리x30%- 6개월 초과: 만기일 당시 약정금리x20%,"1인당 3계좌 가입 가능하며, 계좌당 20만원 이내 납입 가능",3,적금
26,주식회사 케이뱅크,코드K 자유적금,자유적립식,3.50%,3.50%,만 17세 이상 실명의 개인 및 개인사업자,단리,금리우대 코드를 입력하는 경우 우대금리 적용,스마트폰,만기 후 - 1개월 이내: 만기시점 기본금리 X 50% - 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30%- 6개월 초과: 연 0.20%,"가입금액: 1만원 이상 30만원 이하가입기간: 6개월, 1년, 2년, 3년 (1인 최대 3계좌)",3,적금
27,한국산업은행,KDB 자유적금,자유적립식,2.87%,2.87%,"개인, 개인사업자, 임의단체",단리,해당없음,"영업점,인터넷,스마트폰",* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율,해당없음,3,적금
28,금화저축은행,정기적금,자유적립식,2.80%,2.80%,인터넷 및 모바일뱅킹 사용자,단리,-,"인터넷,스마트폰",① 만기 후 1개월 이내 : 약정금리② 만기 후 1개월 초과 : 보통예금 이율 (0.2%),중도해지 이율 - ① 1개월 미만 : 보통예금이율 (0.2%)② 1개월이상~6개월미만 : 약정이율X50%③ 6개월이상~12개월미만 : 약정이율X55%④ 12개월이상~24개월미만 : 약정이율X60%⑤ 24개월이상~60개월미만 : 약정이율X70%,3,적금
29,금화저축은행,정기적금,자유적립식,2.70%,2.70%,제한없음,단리,창구전용상품,영업점,① 만기 후 1개월 이내 : 약정금리② 만기 후 1개월 초과 : 보통예금 이율 (0.2%),중도해지 이율 - ① 1개월 미만 : 보통예금이율 (0.2%)② 1개월이상~6개월미만 : 약정이율X50%③ 6개월이상~12개월미만 : 약정이율X55%④ 12개월이상~24개월미만 : 약정이율X60%⑤ 24개월이상~60개월미만 : 약정이율X70%,3,적금
30,에스앤티저축은행,정기적금,정액적립식,2.50%,2.50%,제한없음,단리,없음,영업점,-만기 후 1개월 이내 : 가입당시 약정금리-만기 후 1개월 이후 : 0.20% (보통예금 금리적용),"예금자보호법에 의해 원리금 기준 5,000만원까지 보호",3,적금
31,에스앤티저축은행,정기적금(비대면),정액적립식,2.50%,2.50%,제한없음,단리,없음,"인터넷,스마트폰",-만기 후 1개월 이내 : 가입당시 약정금리-만기 후 1개월 이후 : 0.20% (보통예금 금리적용),"예금자보호법에 의해 원리금 기준 5,000만원까지 보호",3,적금
32,SBI저축은행,자유적금,자유적립식,2.35%,2.45%,제한없음,복리,- 비대면(인터넷뱅킹 또는 사이다뱅크APP)우대금리 : 연0.1% - 자동연장 시 추가 우대금리 : 연0.05%,"인터넷,스마트폰",- 만기 후 1개월 이하: 약정금리- 만기 후 1개월 초과: 연0.2%,없음,3,적금
33,오투저축은행,정기적금,자유적립식,2.00%,2.00%,제한없음,단리,-,영업점,1. 2019년 7월 1일 이전 신규-보통예금 이율2. 2019년 7월 1일 신규분 부터-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율,중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,3,적금
34,오투저축은행,정기적금,자유적립식,2.00%,2.00%,제한없음,복리,-,영업점,1. 2019년 7월 1일 이전 신규-보통예금 이율2. 2019년 7월 1일 신규분 부터-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율,중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,3,적금
35,토스뱅크 주식회사,토스뱅크 자유 적금,자유적립식,1.50%,2.00%,· 토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 실명의 개인,단리,· 적금 가입 시 설정되는 월 단위 자동이체를 모두 성공하는 경우 : 연 0.50% 제공,스마트폰,· 만기 후 1개월 이내 : 만기시점 기본금리 X 50% · 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20% · 만기 후 3개월 초과 : 연 0.10%,"· 1인 1계좌 (단, 이벤트 등으로 토스뱅크가 복수의 계좌개설을 허용하는 경우 추가 개설 가능)· 가입금액 : 0원 이상 300만원 이하· 우대금리는 만기 해지하는 경우에만 제공됨",3,적금
36,인성저축은행,정기적금,정액적립식,1.80%,1.80%,-제한없음,단리,없음,영업점,-보통예금이율 0.1%,-없음,3,적금
37,인성저축은행,e-정기적금,정액적립식,1.80%,1.80%,-만19세이상의 개인,단리,없음,"인터넷,스마트폰",-보통예금이율 0.1%,-통장을 발급하지 않는 온라인 전용상품으로 영업점 해지시 우대금리 적용불가,3,적금
38,애큐온저축은행,정기적금,정액적립식,1.40%,1.40%,제한없음,단리,없음,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용),불입금액 : 1만원 이상,3,적금
39,애큐온저축은행,정기적금,정액적립식,1.40%,1.40%,제한없음,복리,없음,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용),불입금액 : 1만원 이상,3,적금
40,영진저축은행,자유적립예금,자유적립식,1.20%,1.20%,내·외국인 대상,단리,"계약기간이 1년이상인 정기예금, 정기적금, 신용부금 만기수령액 이하를 1년 이상으로 재예치시",영업점,만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율)만기후 1개월이후 해지시 보통예금금리(0.5%)적용,"1천원이상 가입가능, 최소가입기간 3개월이상",3,적금
41,영진저축은행,자유적립예금,자유적립식,1.20%,1.20%,내·외국인 대상,복리,"계약기간이 1년이상인 정기예금, 정기적금, 신용부금 만기수령액 이하를 1년 이상으로 재예치시",영업점,만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율)만기후 1개월이후 해지시 보통예금금리(0.5%)적용,"1천원이상 가입가능, 최소가입기간 3개월이상",3,적금
42,청주저축은행,정기적금,자유적립식,1.20%,1.20%,제한없음,단리,없음,영업점,1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리1개월초과 : 보통예금이율,상품 문의 ☎ 043-256-9114,3,적금
43,농협은행주식회사,NH1934월복리적금,자유적립식,3.00%,6.50%,만19세~만34세 개인 및 개인사업자,복리,1. 급여실적 : 1.0%p (①/② 중복 적용 불가) ① 급여이체 실적 : 1.0%p ② 개인사업자 계좌 실적 :1.0%p 2. 비대면 채널 이체 실적 : 0.3%p 3. 마케팅 동의 : 0.2%p 4. 농업계고 및 청년농부사관학교 졸업자 : 2.0%p,"영업점,인터넷,스마트폰",만기후 1년 이내 : 만기시점 계약기간별 기본금리의 1/2만기후 1년 초과 : 보통예금 금리,"초입금 및 매회 1만원 이상, 월 50만원 이내 자유적립급여이체 실적과 개인사업자 계좌 실적 우대금리는 중복 적용 불가 * 급여입금실적 인정기준 - 가입기간 12개월 이하 : 3개월 이상 급여이체 - 가입기간 24개월 이하 : 12개월 이상 급여이체",6,적금
44,국민은행,KB 특★한 적금,자유적립식,2.00%,6.00%,실명의 개인,단리,"항목별 적용 조건 충족시, 최고 연 4.0%p ① 목표달성 축하 우대이율: 최고 연 1.0%p 50만원 이하: 연 0.5%p, 50만원 초과: 연 1.0%p ② 별 모으기 우대이율 : 최고 연 1.0%p 10개: 연 0.5%p, 20개: 연 1.0%p ③ 함께해요 우대이율: 최고 연 2.0%p",스마트폰,- 1개월 이내 : 기본이율 X 50%- 1개월 초과 ~ 3개월 이내 : 기본이율 X 30%- 3개월 초과 : 0.1%,"개인사업자, 임의단체 및공동명의 가입 불가(1인 최대 3계좌)",6,적금
45,전북은행,3초 플레이 적금,정액적립식,2.00%,6.00%,실명의 개인 및 개인사업자(1인 1계좌),단리,1. 만기 전전월까지 게임 50회 참여시 0.9% 2. 3초 플레이 적금 게임에 참여하여 획득한 점수 총 합에 따라 추가 우대금리 (연0.5% ~ 연3.0%) 3. 가입기간 내 오픈뱅킹을 통해 계좌 추가 등록/유지시 우대 0.1% ※거래실적 인정기준 세부내용은 홈페이지 참조,스마트폰,√만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(정액적립식) 실행이율의 1/2√만기후 1개월초과 경과분 : 연 0.1%,계약기간 6개월월별 적립한도 5만원 이상 최고 50만원 이하 (1인 1계좌),6,적금
46,페퍼저축은행,정기적금,정액적립식,6.00%,6.00%,"개인고객(당행 입출금 계좌 보유 고객 중 페퍼스타디움 방문 관람 시 제공된 쿠폰코드를 수령한 고객, 1인1계좌),쿠폰 유효기간에 한함",단리,우대사항 없음,스마트폰,*신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용*만기 후 이자율- 1개월 이내 (당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율) - 1개월 초과 ~ (보통예금 이율)- 납입지연 이율(만기앞당김 이율 기간별 정기적금 기본이율),*최소가입금액: 1만원 이상*최고한도(단위:원) 50만원(정액 적립식),6,적금
47,주식회사 카카오뱅크,카카오뱅크 26주적금,자유적립식,2.50%,5.50%,만 17세 이상의 실명의 개인,단리,자동이체 연속 성공 우대금리 제공 : 최고 연 3.00%p - 제공조건 ① 7주차까지 자동이체 납입을 연속 성공하고 만기해지 하는 경우 연 1.00%p 제공 ② 26주차까지 자동이체 납입을 연속 성공하고 만기해지 하는 경우 연 2.00%p 추가 제공 - 유의사항 : 자동이체 실패한 주차를 빈자리채우기 하여도 성공으로 인정되지 않음,스마트폰,- 만기 후 1개월 이내 : 가입시점 기본금리x50%- 만기 후 1개월초과 3개월 이내 : 가입시점 기본금리x30%- 만기 후 3개월 초과 : 0.20%,"1. 가입방법 : 스마트폰2. 가입금액 : 1천원, 2천원, 3천원, 5천원, 1만원3. 가입기간 : 6개월4. 26주적금서비스(자동이체)를 통해서 납입이 가능하며, 그 외의 입금은 모두 제한됨(단, 26주적금 서비스를 통한 납입 실패 시 빈자리 채우기로 납입 가능)",6,적금
48,제주은행,jbank 저금통적금,자유적립식,3.15%,5.25%,개인 및 개인사업자,단리,"*거래조건에 따라 최고 2.1%p 우대금리 적용 ①자투리 출금계좌 평잔 50만원 이상 유지 : 0.8%p ②첫거래고객 or JBANK저금통적금 1개월 내 재신규 : 0.5%p ③신규가입 시점에서 적금 목표금액 최소 30만원 이상 설정하고, 적금 신규일로부터 3개월 내 잔액이 목표금액 이상인 경우 :0.5%p ④추천인 우대금리 : 0.30%p","인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50%(단, 최저금리 0.1%)- 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25%(단, 최저금리 0.1%)- 만기후 3개월 초과 : 0.1%",월 납입한도 50만원 이하,6,적금
49,경남은행,오늘도세이브적금,자유적립식,3.45%,5.20%,실명의 개인 및 개인사업자,단리,①마케팅동의 0.15% ②목돈마련 축하이율 0.30~1.00% ③친구 추천번호 0.30~0.60%,"인터넷,스마트폰,기타",만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,1. 계약기간은 1개월 이상 6개월 이내 월단위로 한다.2. 초입금 일 1천원 이상 10만원 이하 자유롭게 저축3. 최대 저축횟수는 999회 이내,6,적금
50,경남은행,BNK 위더스(With-us)자유적금,자유적립식,2.55%,5.05%,개인 및 개인사업자,단리,"①ESG 실천 우대금리 0.50% ②신규고객 우대금리 0.50% - 당행 1년 이내예적금(청약포함)신규해지 이력미보유 ③공동가입우대금리 1.50% ④창립 54주년 이벤트금리(~6.7), 선착순2,000명 한정: 0.50% (가입기간 12개월만 해당)","영업점,인터넷,스마트폰,기타",만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,"1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.2..1인 1계좌로 가입가능2.매월 최소 1만원 이상, 최고 월 100만원 이하 (천원 단위)",6,적금
51,신한저축은행,청포도 청년적금,정액적립식,4.00%,5.00%,19~39세,단리,①개인(신용)정보 수집?이용 동의[상품서비스안내 등] 상품서비스 안내 수단 전체 동의시 0.1 % 우대금리 제공 ②계약기간 총 월불입금 횟수의 1/2이상을 당사 입출금계좌에서 이체하여 불입하는 경우 0.3% 우대금리 제공 ③가입 후 만기해지시까지 통장 미발행시(ESG) 0.6% 우대금리 제공,"인터넷,스마트폰",- 1개월 이내 : 약정금리 - 1개월 초과 : 보통예금금리,"①번 우대이율은 가입시점에 지급 ②③번 우대이율은 만기해지시점에 지급/가입일로부터 만기일까지의 기간에 대해 적용되며 중도해지시에는 지급하지 않음 * 우대이율은 약정금리에 반영되어 중도해지이율, 만기후이율 산정시 포함되며, 만기앞당김해지시에도 포함",6,적금
52,제주은행,탐이나요적금,자유적립식,2.30%,5.00%,개인 및 개인사업자,단리,"우대요건 충족시 최고 2.7%p 추가 우대(만기시 제공)매월 JBANK로그인 시 0.2%,한 가지라도 수행시 2.5% 제공①추천인 코드로 3명 이상 가입시 ②탐나는전 체크카드 월30만원 이상 사용 유지 ③탐나는전 선불카드 충전계좌를 당행 입출금계좌로 등록 후 평잔 50만원 이상 유지 시","인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50%(단, 최저금리 0.1%)- 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25%(단, 최저금리 0.1%)- 만기후 3개월 초과 : 0.1%",월 납입한도 100만원 이하,6,적금
53,페퍼저축은행,페퍼스 펫적금 with 핏펫,정액적립식,5.00%,5.00%,"개인고객(1인 1계좌, 당행 입출금 보유고객 중 핏펫 앱에서 로그인 후 쿠폰코드를 수령한 고객)",단리,해당사항 없음,스마트폰,* 만기 후 1개월 이내 기간 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의신규 약정금리 중 낮은 이율* 만기 후 1개월 초과 이후 기간 : 보통예금 이율 적용,최소가입금액: 1만원 이상,6,적금
